Country,agricultural rate,armed forces size,birth rate,CO2 emissions,CPI,Fertility rate,forested area,gasoline price,gross primary education,gross tertiary deucation,infant mortality,life expectancy,maternal mortality ratio,minimum wage,health expenditure,physician ratio,labor force participation,tax revenue,total tax rate,unemployment rate,GDP per Capita,urban population rate,label
Georgia,0.34500000000000003,26000.0,0.13470000000000001,10128.0,133.61,0.0206,0.406,0.76,0.986,0.639,8.7,73.6,25.0,0.05,0.573,7.12,0.6829999999999999,0.217,0.099,0.14400000000000002,4769.18654320981,0.5903899115735964,0
Germany,0.47700000000000004,180000.0,0.095,727973.0,112.85,0.015600000000000001,0.327,1.39,1.04,0.7020000000000001,3.1,80.9,7.0,9.99,0.125,4.25,0.608,0.115,0.488,0.0304,46258.8782897109,0.7737600053620233,1
Ghana,0.6900000000000001,16000.0,0.29410000000000003,16670.0,268.36,0.038700000000000005,0.41200000000000003,0.92,1.048,0.157,34.9,63.8,308.0,0.27,0.36100000000000004,0.14,0.6779999999999999,0.126,0.554,0.0433,2175.3153946557563,0.5601686612579226,0
Greece,0.47600000000000003,146000.0,0.081,62434.0,101.87,0.013500000000000002,0.317,1.54,0.996,1.3659999999999999,3.6,81.3,3.0,4.46,0.355,5.48,0.518,0.262,0.519,0.1724,19582.53601086268,0.7938800271212455,1
Grenada,0.23500000000000001,0.0,0.16469999999999999,268.0,107.43,0.0206,0.5,1.12,1.0690000000000002,1.046,13.7,72.4,25.0,0.01,0.5700000000000001,1.41,0.6273806818181819,0.19399999999999998,0.478,0.06886363636363636,10965.51315589761,0.36396346526432327,1
Guatemala,0.36,43000.0,0.24559999999999998,16777.0,142.92,0.028700000000000003,0.327,0.79,1.0190000000000001,0.218,22.1,74.1,95.0,1.6,0.5579999999999999,0.35,0.623,0.106,0.35200000000000004,0.0246,4619.987097105244,0.5143900039665079,0
Guinea,0.59,13000.0,0.3636,2996.0,262.95,0.047,0.258,0.9,0.915,0.11599999999999999,64.9,61.2,576.0,0.01,0.545,0.08,0.615,0.10800000000000001,0.693,0.043,1064.1312373906196,0.3650000164431881,0
Guyana,0.086,3000.0,0.1997,2384.0,116.19,0.0246,0.8390000000000001,0.9,0.978,0.11599999999999999,25.1,69.8,169.0,0.98,0.405,0.8,0.562,0.16573964497041424,0.306,0.1185,5468.356628928696,0.2668894663283791,0
Haiti,0.668,0.0,0.24350000000000002,2978.0,179.29,0.0294,0.035,0.81,1.136,0.011000000000000001,49.5,63.7,480.0,0.25,0.363,0.23,0.672,0.16573964497041424,0.42700000000000005,0.1378,754.5879177599514,0.5619199797710697,0
Honduras,0.289,23000.0,0.21600000000000003,9813.0,150.34,0.0246,0.4,0.98,0.915,0.262,15.1,75.1,65.0,1.01,0.49100000000000005,0.31,0.688,0.17300000000000001,0.391,0.053899999999999997,2574.912190670397,0.5772999646936313,0
