,return,beta,volatility
ME7 BM8,0.044207618493748185,1.0639137967804912,0.015070748045123874
ME7 BM9,0.04803140447804595,0.9926995122131061,0.01477637533052413
ME7 BM10,0.05911311427740622,0.9361034496256994,0.018890520053373973
ME8 BM1,0.06656295434719395,1.3542666217723995,0.013702810799717198
ME8 BM2,0.05209653969177086,1.102602756090074,0.01223819179445709
ME8 BM3,0.05045362023844141,1.0470212968230879,0.012602666541881968
ME8 BM4,0.07154696132596686,1.2224520554452039,0.01359993733075818
ME8 BM5,0.054867694097121264,1.268883582009198,0.01320049012367691
ME8 BM6,0.04449840069787729,1.0433417354247179,0.013378148148846664
ME8 BM7,0.039566734515847635,1.0344793730166824,0.013661877425749936
ME8 BM8,0.0413027042744984,0.8547013819605424,0.014315495510136727
ME8 BM9,0.043419598720558304,1.023901400793983,0.01554656408028175
ME8 BM10,0.04440535039255598,1.3278998773677275,0.018241696086066107
ME9 BM1,0.056432102355335856,1.119294734024864,0.013046751141831039
ME9 BM2,0.04694678685664438,1.0540678440698912,0.012336345250916517
ME9 BM3,0.056894446059901134,0.9884954355386496,0.011885819838420993
ME9 BM4,0.046435010177377146,1.1116009142693142,0.012528349663276117
ME9 BM5,0.04575748764175633,1.1167741101810673,0.012500612992626883
ME9 BM6,0.05021227100901425,0.7582200500979224,0.011587500752367693
ME9 BM7,0.055879616167490556,0.6275544789969292,0.012496495541510612
ME9 BM8,0.04441698168072115,0.7017529694963872,0.013691794676746265
ME9 BM9,0.05767665018900844,1.0245230233633627,0.015617024948337378
ME9 BM10,0.02696132596685082,1.0721578170102906,0.020131947274908236
BIG LoBM,0.06512649025879615,0.9350605853798076,0.012311747381333001
ME10 BM2,0.05980808374527479,0.848625428206368,0.011177546229997965
ME10 BM3,0.05241349229427159,0.8821429549914661,0.01053070332136555
ME10 BM4,0.04556847920907241,0.6773136256110427,0.01132089212579238
ME10 BM5,0.04353881942425124,0.9730638863964701,0.01125115088387909
ME10 BM6,0.050782204129107306,0.8301416966936875,0.012310500275858045
ME10 BM7,0.016423378889211984,0.8202041259111851,0.012575139970678837
ME10 BM8,0.04746147135795291,1.028548785909901,0.013041706938352509
ME10 BM9,0.04575748764175633,1.0324910793442539,0.016090871855509618
BIG HiBM,0.03287583599883688,1.2318205275762062,0.01961088607936991
