"Date","Price","Open","High","Low","Vol.","Change %"
"01/19/2022","1,188.13","1,193.03","1,193.94","1,186.66","","-0.38%"
"01/18/2022","1,192.69","1,190.98","1,194.33","1,185.93","","0.23%"
"01/17/2022","1,189.99","1,190.55","1,194.13","1,189.49","","-0.01%"
"01/14/2022","1,190.07","1,186.77","1,192.42","1,185.67","","0.33%"
"01/13/2022","1,186.11","1,185.96","1,189.94","1,184.04","","0.02%"
"01/12/2022","1,185.87","1,190.55","1,193.20","1,185.11","","-0.54%"
"01/11/2022","1,192.31","1,198.14","1,198.60","1,192.30","","-0.48%"
"01/10/2022","1,198.04","1,198.20","1,201.81","1,195.95","","0.03%"
"01/07/2022","1,197.63","1,205.03","1,205.78","1,197.32","","-0.61%"
"01/06/2022","1,204.95","1,200.65","1,207.11","1,197.20","","0.56%"
"01/05/2022","1,198.20","1,197.54","1,200.18","1,195.91","","0.06%"
"01/04/2022","1,197.49","1,194.77","1,199.49","1,192.75","","0.38%"
"01/03/2022","1,193.00","1,189.80","1,193.86","1,187.55","","0.42%"
"12/31/2021","1,187.96","1,190.22","1,191.31","1,186.67","","-0.12%"
"12/30/2021","1,189.36","1,184.79","1,190.72","1,182.75","","0.39%"
"12/29/2021","1,184.70","1,188.14","1,188.59","1,184.06","","-0.29%"
"12/28/2021","1,188.09","1,186.59","1,189.39","1,185.31","","0.21%"
"12/27/2021","1,185.61","1,187.10","1,188.63","1,185.02","","-0.03%"
"12/24/2021","1,185.99","1,185.64","1,188.40","1,184.69","","0.04%"
"12/23/2021","1,185.55","1,187.94","1,190.76","1,184.89","","-0.39%"
"12/22/2021","1,190.21","1,190.43","1,192.98","1,189.50","","-0.04%"
"12/21/2021","1,190.67","1,189.95","1,193.81","1,189.00","","0.10%"
"12/20/2021","1,189.53","1,188.10","1,192.67","1,186.79","","0.15%"
"12/17/2021","1,187.70","1,186.39","1,188.63","1,180.03","","0.12%"
"12/16/2021","1,186.29","1,185.41","1,188.86","1,181.63","","0.15%"
"12/15/2021","1,184.57","1,185.24","1,190.22","1,183.93","","-0.05%"
"12/14/2021","1,185.19","1,185.10","1,186.38","1,180.97","","0.02%"
"12/13/2021","1,184.91","1,180.96","1,186.16","1,177.03","","0.34%"
"12/10/2021","1,180.86","1,178.27","1,182.82","1,176.40","","0.23%"
"12/09/2021","1,178.15","1,173.42","1,179.37","1,172.62","","0.25%"
"12/08/2021","1,175.19","1,176.85","1,179.31","1,175.12","","-0.13%"
"12/07/2021","1,176.73","1,180.66","1,184.03","1,176.56","","-0.32%"
"12/06/2021","1,180.54","1,184.85","1,186.49","1,179.70","","0.05%"
"12/03/2021","1,180.00","1,176.85","1,183.63","1,175.83","","0.28%"
"12/02/2021","1,176.74","1,177.06","1,179.35","1,173.32","","-0.02%"
"12/01/2021","1,176.93","1,182.84","1,185.49","1,173.33","","-0.49%"
"11/30/2021","1,182.71","1,190.96","1,191.73","1,182.26","","-0.67%"
"11/29/2021","1,190.69","1,195.80","1,196.00","1,189.90","","-0.31%"
"11/26/2021","1,194.43","1,190.24","1,196.26","1,189.74","","0.36%"
"11/25/2021","1,190.16","1,188.81","1,192.28","1,187.82","","0.12%"
"11/24/2021","1,188.77","1,190.07","1,190.79","1,185.02","","-0.03%"
"11/23/2021","1,189.08","1,190.57","1,192.47","1,187.06","","-0.08%"
"11/22/2021","1,190.08","1,188.77","1,191.36","1,184.81","","0.25%"
"11/19/2021","1,187.10","1,182.99","1,187.67","1,181.16","","0.40%"
"11/18/2021","1,182.37","1,180.58","1,187.76","1,177.92","","0.16%"
"11/17/2021","1,180.46","1,183.99","1,186.96","1,179.58","","-0.29%"
"11/16/2021","1,183.85","1,183.56","1,185.80","1,175.30","","0.04%"
"11/15/2021","1,183.42","1,179.94","1,184.78","1,177.17","","0.36%"
"11/12/2021","1,179.20","1,182.45","1,184.10","1,176.31","","-0.27%"
"11/11/2021","1,182.39","1,185.15","1,187.30","1,178.17","","-0.22%"
"11/10/2021","1,185.04","1,178.51","1,186.15","1,176.82","","0.56%"
"11/09/2021","1,178.40","1,180.95","1,182.10","1,173.36","","-0.21%"
"11/08/2021","1,180.84","1,181.51","1,186.74","1,178.93","","-0.02%"
"11/05/2021","1,181.05","1,185.97","1,188.43","1,181.21","","-0.40%"
"11/04/2021","1,185.75","1,178.89","1,188.81","1,176.94","","0.59%"
"11/03/2021","1,178.78","1,178.59","1,185.94","1,177.99","","0.03%"
"11/02/2021","1,178.48","1,177.56","1,179.91","1,174.03","","0.09%"
"11/01/2021","1,177.45","1,174.61","1,179.89","1,173.28","","0.25%"
"10/29/2021","1,174.47","1,168.45","1,177.07","1,167.81","","0.52%"
"10/28/2021","1,168.44","1,172.17","1,174.70","1,166.06","","-0.31%"
"10/27/2021","1,172.05","1,168.06","1,174.09","1,165.45","","0.35%"
"10/26/2021","1,167.95","1,168.13","1,170.47","1,163.75","","-0.01%"
"10/25/2021","1,168.02","1,177.44","1,178.96","1,166.96","","-0.80%"
"10/22/2021","1,177.48","1,177.86","1,181.70","1,173.64","","-0.03%"
"10/21/2021","1,177.78","1,175.81","1,180.03","1,172.98","","0.18%"
"10/20/2021","1,175.63","1,175.61","1,179.26","1,172.01","","0.04%"
"10/19/2021","1,175.13","1,185.89","1,186.04","1,173.73","","-0.87%"
"10/18/2021","1,185.47","1,182.49","1,188.85","1,182.39","","0.29%"
"10/15/2021","1,182.07","1,182.23","1,185.31","1,180.87","","0.03%"
"10/14/2021","1,181.69","1,186.87","1,190.94","1,181.76","","-0.38%"
"10/13/2021","1,186.18","1,197.92","1,199.49","1,186.30","","-0.93%"
"10/12/2021","1,197.29","1,195.75","1,200.90","1,195.38","","0.17%"
"10/11/2021","1,195.30","1,196.54","1,196.99","1,191.89","","-0.12%"
"10/08/2021","1,196.79","1,191.33","1,197.61","1,190.35","","0.50%"
"10/07/2021","1,190.88","1,190.74","1,192.08","1,188.15","","0.06%"
"10/06/2021","1,190.21","1,186.69","1,197.94","1,185.90","","0.31%"
"10/05/2021","1,186.48","1,184.45","1,189.12","1,183.83","","0.20%"
"10/04/2021","1,184.12","1,179.90","1,185.97","1,178.41","","0.32%"
"10/01/2021","1,180.35","1,184.78","1,189.05","1,179.20","","-0.33%"
"09/30/2021","1,184.23","1,187.93","1,189.38","1,180.22","","-0.24%"
"09/29/2021","1,187.11","1,188.04","1,189.26","1,181.20","","0.00%"
"09/28/2021","1,187.16","1,177.09","1,188.67","1,176.37","","0.78%"
"09/27/2021","1,177.94","1,179.95","1,182.46","1,173.98","","-0.15%"
"09/24/2021","1,179.68","1,174.83","1,182.05","1,171.81","","0.43%"
"09/23/2021","1,174.63","1,181.99","1,186.62","1,170.36","","-0.60%"
"09/22/2021","1,181.75","1,184.41","1,185.53","1,178.25","","-0.19%"
